#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL
Leptolyngbya	Unknown	7M	NZ_CP070897.1	0	40092	nrps-like	true	VEPE/AEPE/TG-1	40	BGC0000871	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=0&end=40092
Leptolyngbya	Unknown	7M	NZ_CP070897.1	1599090	1619996	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=1599090&end=1619996
Leptolyngbya	Unknown	7M	NZ_CP070897.1	2107254	2149330	lanthipeptide-class-v	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=2107254&end=2149330
Leptolyngbya	Unknown	7M	NZ_CP070897.1	2417379	2457592	t3pks	false	merocyclophane C/merocyclophane D	22	BGC0001663	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=2417379&end=2457592
Leptolyngbya	Unknown	7M	NZ_CP070897.1	3085655	3129105	t1pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=3085655&end=3129105
Leptolyngbya	Unknown	7M	NZ_CP070897.1	3273636	3314428	hgle-ks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=3273636&end=3314428
Leptolyngbya	Unknown	7M	NZ_CP070897.1	3632250	3675076	t1pks nrps-like hybrid	false	kedarcidin	1	BGC0000081	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=3632250&end=3675076
Leptolyngbya	Unknown	7M	NZ_CP070897.1	3757014	3799801	hgle-ks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=3757014&end=3799801
Leptolyngbya	Unknown	7M	NZ_CP070897.1	4387618	4429856	nrps	false	saxitoxin/neosaxitoxin/decarbamoylsaxitoxin/gonyautoxin 3/gonyautoxin 2	5	BGC0000188	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=4387618&end=4429856
Leptolyngbya	Unknown	7M	NZ_CP070897.1	4504067	4546164	nrps	false	icosalide A/icosalide B	100	BGC0001833	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=4504067&end=4546164
Leptolyngbya	Unknown	7M	NZ_CP070897.1	5333190	5375077	nrps-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=5333190&end=5375077
Leptolyngbya	Unknown	7M	NZ_CP070897.1	5827709	5849182	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=5827709&end=5849182
Leptolyngbya	Unknown	7M	NZ_CP070897.1	6338243	6359463	lassopeptide	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=6338243&end=6359463
Leptolyngbya	Unknown	7M	NZ_CP070897.1	6833664	6874714	hgle-ks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP070897.1&start=6833664&end=6874714
Cyanobium	Unknown	PCC 7001	NZ_DS990556.1	269687	310758	t3pks	false	hierridin B/hierridin C	71	BGC0001962	https://antismash-db.secondarymetabolites.org/area?record=NZ_DS990556.1&start=269687&end=310758
Cyanobium	Unknown	PCC 7001	NZ_DS990556.1	323252	366801	nrps-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_DS990556.1&start=323252&end=366801
Cyanobium	Unknown	PCC 7001	NZ_DS990556.1	1150602	1171901	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_DS990556.1&start=1150602&end=1171901
Cyanobium	Unknown	PCC 7001	NZ_DS990556.1	1586625	1640348	lanthipeptide-class-v	false	berninamycin K/berninamycin J/berninamycin A/berninamycin B	22	BGC0002363	https://antismash-db.secondarymetabolites.org/area?record=NZ_DS990556.1&start=1586625&end=1640348
Cyanobium	Unknown	PCC 7001	NZ_DS990556.1	1687843	1732151	nrps-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_DS990556.1&start=1687843&end=1732151
Cyanobium	Unknown	PCC 7001	NZ_DS990556.1	2286339	2307305	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_DS990556.1&start=2286339&end=2307305
Nodosilinea	nodulosa	PCC 7104	NZ_JH976537.1	122330	143560	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JH976537.1&start=122330&end=143560
Nodosilinea	nodulosa	PCC 7104	NZ_JH976537.1	1410975	1452892	resorcinol	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JH976537.1&start=1410975&end=1452892
Nodosilinea	nodulosa	PCC 7104	NZ_JH976537.1	2758954	2779881	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JH976537.1&start=2758954&end=2779881
Nodosilinea	nodulosa	PCC 7104	NZ_JH976537.1	5097674	5118505	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JH976537.1&start=5097674&end=5118505
Nodosilinea	nodulosa	PCC 7104	NZ_JH976537.1	5793617	5815552	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JH976537.1&start=5793617&end=5815552
Spirulina	major	PCC 6313	NZ_KV878783.1	1091775	1112105	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KV878783.1&start=1091775&end=1112105
Spirulina	major	PCC 6313	NZ_KV878783.1	1223951	1280657	t1pks nrps hybrid	false	jamaicamide A/jamaicamide B/jamaicamide C	7	BGC0001001	https://antismash-db.secondarymetabolites.org/area?record=NZ_KV878783.1&start=1223951&end=1280657
Spirulina	major	PCC 6313	NZ_KV878783.1	1570829	1612995	nrps-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KV878783.1&start=1570829&end=1612995
Spirulina	major	PCC 6313	NZ_KV878783.1	1843556	1864489	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KV878783.1&start=1843556&end=1864489
Spirulina	major	PCC 6313	NZ_KV878783.1	2511429	2531714	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KV878783.1&start=2511429&end=2531714
Spirulina	major	PCC 6313	NZ_KV878783.1	2851828	2892977	arylpolyene	false	TP-1161	8	BGC0000615	https://antismash-db.secondarymetabolites.org/area?record=NZ_KV878783.1&start=2851828&end=2892977
Hydrococcus	rivularis	NIES-593	NZ_MRCB01000011.1	55735	77730	spliceotide rre-containing hybrid	false	PcpA	100	BGC0001733	https://antismash-db.secondarymetabolites.org/area?record=NZ_MRCB01000011.1&start=55735&end=77730
Hydrococcus	rivularis	NIES-593	NZ_MRCB01000013.1	25810	68282	t1pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_MRCB01000013.1&start=25810&end=68282
Hydrococcus	rivularis	NIES-593	NZ_MRCB01000015.1	12478	37502	lap	false	muscoride A/muscoride B	18	BGC0002485	https://antismash-db.secondarymetabolites.org/area?record=NZ_MRCB01000015.1&start=12478&end=37502
Hydrococcus	rivularis	NIES-593	NZ_MRCB01000002.1	44417	66358	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_MRCB01000002.1&start=44417&end=66358
Hydrococcus	rivularis	NIES-593	NZ_MRCB01000025.1	0	69404	nrps nrp-metallophore t1pks hybrid	true	nostopeptolide A2	50	BGC0001028	https://antismash-db.secondarymetabolites.org/area?record=NZ_MRCB01000025.1&start=0&end=69404
Hydrococcus	rivularis	NIES-593	NZ_MRCB01000033.1	19627	42290	lassopeptide	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_MRCB01000033.1&start=19627&end=42290
Hydrococcus	rivularis	NIES-593	NZ_MRCB01000036.1	17067	40696	t1pks	true	curacin A	53	BGC0000976	https://antismash-db.secondarymetabolites.org/area?record=NZ_MRCB01000036.1&start=17067&end=40696
Hydrococcus	rivularis	NIES-593	NZ_MRCB01000039.1	0	29032	t1pks	true	leupyrrin	5	BGC0000380	https://antismash-db.secondarymetabolites.org/area?record=NZ_MRCB01000039.1&start=0&end=29032
Hydrococcus	rivularis	NIES-593	NZ_MRCB01000004.1	0	23796	nrps-like	true	cylindrospermopsin	20	BGC0000981	https://antismash-db.secondarymetabolites.org/area?record=NZ_MRCB01000004.1&start=0&end=23796
Hydrococcus	rivularis	NIES-593	NZ_MRCB01000005.1	71037	91847	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_MRCB01000005.1&start=71037&end=91847
Hydrococcus	rivularis	NIES-593	NZ_MRCB01000058.1	0	11241	terpene	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_MRCB01000058.1&start=0&end=11241
Hydrococcus	rivularis	NIES-593	NZ_MRCB01000060.1	0	10623	t1pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_MRCB01000060.1&start=0&end=10623
Hydrococcus	rivularis	NIES-593	NZ_MRCB01000009.1	0	40584	nrps-like t1pks hybrid	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_MRCB01000009.1&start=0&end=40584
Synechococcus	Unknown	M16.1	NZ_CP047954.1	1456915	1478154	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP047954.1&start=1456915&end=1478154
Synechococcus	Unknown	M16.1	NZ_CP047954.1	1870285	1891194	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP047954.1&start=1870285&end=1891194
Synechocystis	Unknown	PCC 7339	NZ_CP063659.1	599154	620168	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP063659.1&start=599154&end=620168
Synechocystis	Unknown	PCC 7339	NZ_CP063659.1	739620	761579	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP063659.1&start=739620&end=761579
Synechocystis	Unknown	PCC 7339	NZ_CP063659.1	1009145	1029961	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP063659.1&start=1009145&end=1029961
Synechocystis	Unknown	PCC 7339	NZ_CP063659.1	2114520	2135606	2dos	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP063659.1&start=2114520&end=2135606
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	371194	392127	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=371194&end=392127
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	765626	810222	hgle-ks	false	heterocyst glycolipids	71	BGC0000869	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=765626&end=810222
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	965850	1027461	cyanobactin mycosporine-like nrps hybrid	false	shinorine/4-deoxygadusol/mycosporine glycine	75	BGC0000427	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=965850&end=1027461
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	1700669	1757329	nrps nrps-like t1pks hybrid	false	nostophycin	27	BGC0001029	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=1700669&end=1757329
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	1769494	1811924	lanthipeptide-class-v	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=1769494&end=1811924
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	2671580	2682459	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=2671580&end=2682459
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	2821748	2864142	lanthipeptide-class-v	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=2821748&end=2864142
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	3022133	3174494	nrps-like nrps nrp-metallophore t1pks hybrid	false	anachelin	45	BGC0002532	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=3022133&end=3174494
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	3237722	3298847	nrps	false	varlaxin 1046A/varlaxin 1022A	100	BGC0002632	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=3237722&end=3298847
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	3431289	3475503	napaa lanthipeptide-class-ii microviridin proteusin hybrid	false	PlpA1/PlpA2/PlpA3	33	BGC0001745	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=3431289&end=3475503
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	3735455	3798036	betalactone nrps hybrid	false	anabaenopeptin NZ857/nostamide A	100	BGC0001479	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=3735455&end=3798036
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	4284859	4337161	t1pks hgle-ks hybrid	false	heterocyst glycolipids	85	BGC0000869	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=4284859&end=4337161
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	4440792	4464071	thiopeptide lap hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=4440792&end=4464071
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	4949173	4993361	nrps	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=4949173&end=4993361
Nostoc	Unknown	UHCC 0870	NZ_CP091913.1	5444537	5466480	spliceotide rre-containing hybrid	false	PcpA	33	BGC0001733	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091913.1&start=5444537&end=5466480
Nostoc	Unknown	UHCC 0870	NZ_CP091914.1	5541	56313	nrps	false	heinamide A1/heinamide A2/heinamide A3/heinamide B1/heinamide B2/heinamide B3/heinamide B4/heinamide B5	36	BGC0002572	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091914.1&start=5541&end=56313
Nostoc	Unknown	UHCC 0870	NZ_CP091915.1	83768	104068	microviridin	false	microviridin N9/microviridin N8/microviridin N7/microviridin N6/microviridin N5/microviridin N4/microviridin N3	33	BGC0002049	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP091915.1&start=83768&end=104068
Prochlorococcus	marinus	MIT 0915	NZ_CP114781.1	65731	87018	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP114781.1&start=65731&end=87018
Prochlorococcus	marinus	MIT 0915	NZ_CP114781.1	782076	803321	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP114781.1&start=782076&end=803321
Prochlorococcus	marinus	MIT 0915	NZ_CP114781.1	1613991	1634930	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP114781.1&start=1613991&end=1634930
Cyanobium	Unknown	NIES-981	NZ_LT578417.1	271260	312388	t3pks	false	hierridin B/hierridin C	71	BGC0001962	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT578417.1&start=271260&end=312388
Cyanobium	Unknown	NIES-981	NZ_LT578417.1	1122474	1143788	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT578417.1&start=1122474&end=1143788
Cyanobium	Unknown	NIES-981	NZ_LT578417.1	1807676	1830607	lanthipeptide-class-ii	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT578417.1&start=1807676&end=1830607
Cyanobium	Unknown	NIES-981	NZ_LT578417.1	2867765	2888668	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT578417.1&start=2867765&end=2888668
Leptolyngbya	boryana	IAM M-101	NZ_AP014638.1	170988	213433	nrps-like	false	heme D1	11	BGC0000905	https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014638.1&start=170988&end=213433
Leptolyngbya	boryana	IAM M-101	NZ_AP014638.1	357824	401751	nrps	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014638.1&start=357824&end=401751
Leptolyngbya	boryana	IAM M-101	NZ_AP014638.1	718909	739917	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014638.1&start=718909&end=739917
Leptolyngbya	boryana	IAM M-101	NZ_AP014638.1	1444660	1488887	nrps-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014638.1&start=1444660&end=1488887
Leptolyngbya	boryana	IAM M-101	NZ_AP014638.1	2025282	2074491	nrps-like nrps hybrid	false	scytocyclamide A/scytocyclamide B/scytocyclamide B3/scytocyclamide C/scytocyclamide A2/scytocyclamide B2	38	BGC0002484	https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014638.1&start=2025282&end=2074491
Leptolyngbya	boryana	IAM M-101	NZ_AP014638.1	2379379	2399823	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014638.1&start=2379379&end=2399823
Leptolyngbya	boryana	IAM M-101	NZ_AP014638.1	2762850	2783669	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014638.1&start=2762850&end=2783669
Leptolyngbya	boryana	IAM M-101	NZ_AP014638.1	3255941	3276253	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014638.1&start=3255941&end=3276253
Leptolyngbya	boryana	IAM M-101	NZ_AP014638.1	3803572	3827468	lassopeptide	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014638.1&start=3803572&end=3827468
Leptolyngbya	boryana	IAM M-101	NZ_AP014638.1	4074954	4095619	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014638.1&start=4074954&end=4095619
Leptolyngbya	boryana	IAM M-101	NZ_AP014638.1	5405610	5449627	nrps	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014638.1&start=5405610&end=5449627
Leptolyngbya	boryana	IAM M-101	NZ_AP014638.1	5455480	5477502	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014638.1&start=5455480&end=5477502
Leptolyngbya	boryana	IAM M-101	NZ_AP014638.1	5624909	5645845	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014638.1&start=5624909&end=5645845
Leptolyngbya	boryana	IAM M-101	NZ_AP014640.1	212301	294560	t1pks nrp-metallophore nrps hybrid	false	nostophycin	27	BGC0001029	https://antismash-db.secondarymetabolites.org/area?record=NZ_AP014640.1&start=212301&end=294560
Microcystis	aeruginosa	Chao 1910	NZ_CP097576.1	764864	821998	t1pks hgle-ks nrps hybrid	false	nostophycin	18	BGC0001029	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP097576.1&start=764864&end=821998
Microcystis	aeruginosa	Chao 1910	NZ_CP097576.1	1038803	1084743	t1pks terpene hybrid	false	calicheamicin	5	BGC0000033	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP097576.1&start=1038803&end=1084743
Microcystis	aeruginosa	Chao 1910	NZ_CP097576.1	1131514	1153812	lap	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP097576.1&start=1131514&end=1153812
Microcystis	aeruginosa	Chao 1910	NZ_CP097576.1	1261064	1281874	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP097576.1&start=1261064&end=1281874
Microcystis	aeruginosa	Chao 1910	NZ_CP097576.1	1403699	1425757	cyanobactin	false	piricyclamide 7005E1/piricyclamide 7005E2/piricyclamide 7005E3/piricyclamide 7005E4	41	BGC0001167	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP097576.1&start=1403699&end=1425757
Microcystis	aeruginosa	Chao 1910	NZ_CP097576.1	1490237	1513521	spliceotide	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP097576.1&start=1490237&end=1513521
Microcystis	aeruginosa	Chao 1910	NZ_CP097576.1	1712079	1733987	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP097576.1&start=1712079&end=1733987
Microcystis	aeruginosa	Chao 1910	NZ_CP097576.1	1781271	1829063	nrps-like t1pks hybrid	false	nostoclide N1/nostoclide N2	16	BGC0002677	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP097576.1&start=1781271&end=1829063
Microcystis	aeruginosa	Chao 1910	NZ_CP097576.1	2346176	2370997	ripp-like proteusin hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP097576.1&start=2346176&end=2370997
Microcystis	aeruginosa	Chao 1910	NZ_CP097576.1	4424462	4466682	nrps-like	false	luminaolide	10	BGC0001656	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP097576.1&start=4424462&end=4466682
Microcystis	aeruginosa	Chao 1910	NZ_CP097576.1	4861710	4917570	nrps	false	micropeptin K139	37	BGC0001018	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP097576.1&start=4861710&end=4917570
Microcystis	aeruginosa	Chao 1910	NZ_CP097576.1	5482636	5524934	lanthipeptide-class-v	false	clipibicyclene/azabicyclene B/azabicyclene C/azabicyclene D	11	BGC0002697	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP097576.1&start=5482636&end=5524934
Prochlorococcus	marinus	MIT 9515	NC_008817.1	146890	167799	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_008817.1&start=146890&end=167799
Prochlorococcus	marinus	MIT 9515	NC_008817.1	622582	643866	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_008817.1&start=622582&end=643866
Prochlorococcus	marinus	MIT 9515	NC_008817.1	996168	1017380	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_008817.1&start=996168&end=1017380
Allocoleopsis	franciscana	PCC 7113	NC_019738.1	1167443	1189702	lap	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019738.1&start=1167443&end=1189702
Allocoleopsis	franciscana	PCC 7113	NC_019738.1	1982829	2063198	nrp-metallophore t1pks nrps hybrid	false	anachelin	60	BGC0002532	https://antismash-db.secondarymetabolites.org/area?record=NC_019738.1&start=1982829&end=2063198
Allocoleopsis	franciscana	PCC 7113	NC_019738.1	2400979	2469774	nrps	false	gramicidin	16	BGC0000367	https://antismash-db.secondarymetabolites.org/area?record=NC_019738.1&start=2400979&end=2469774
Allocoleopsis	franciscana	PCC 7113	NC_019738.1	2995016	3006969	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019738.1&start=2995016&end=3006969
Allocoleopsis	franciscana	PCC 7113	NC_019738.1	3102075	3122978	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019738.1&start=3102075&end=3122978
Allocoleopsis	franciscana	PCC 7113	NC_019738.1	3474910	3498240	lanthipeptide-class-ii	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019738.1&start=3474910&end=3498240
Allocoleopsis	franciscana	PCC 7113	NC_019738.1	4484095	4506812	thioamitides	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019738.1&start=4484095&end=4506812
Allocoleopsis	franciscana	PCC 7113	NC_019738.1	4644033	4687927	nrps-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019738.1&start=4644033&end=4687927
Allocoleopsis	franciscana	PCC 7113	NC_019738.1	6936983	6960372	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_019738.1&start=6936983&end=6960372
Synechococcus	Unknown	CC9616	NZ_KI911558.1	255134	276388	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KI911558.1&start=255134&end=276388
Synechococcus	Unknown	CC9616	NZ_KI911558.1	523295	534177	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KI911558.1&start=523295&end=534177
Synechococcus	Unknown	CC9616	NZ_KI911558.1	570169	611261	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KI911558.1&start=570169&end=611261
Synechococcus	Unknown	CC9616	NZ_KI911558.1	1718611	1739520	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KI911558.1&start=1718611&end=1739520
Prochlorococcus	Unknown	MIT 0801	NZ_CP007754.1	186338	207277	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP007754.1&start=186338&end=207277
Prochlorococcus	Unknown	MIT 0801	NZ_CP007754.1	657550	678837	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP007754.1&start=657550&end=678837
Prochlorococcus	Unknown	MIT 0801	NZ_CP007754.1	1270832	1292068	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP007754.1&start=1270832&end=1292068
Moorena	producens	JHB	NZ_CP017708.2	263301	350415	lanthipeptide-class-v nrps hybrid	false	puwainaphycin A/puwainaphycin B/puwainaphycin C/puwainaphycin D	40	BGC0001125	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=263301&end=350415
Moorena	producens	JHB	NZ_CP017708.2	431044	453724	spliceotide rre-containing hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=431044&end=453724
Moorena	producens	JHB	NZ_CP017708.2	1009249	1022477	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=1009249&end=1022477
Moorena	producens	JHB	NZ_CP017708.2	1177270	1199544	lap	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=1177270&end=1199544
Moorena	producens	JHB	NZ_CP017708.2	1321457	1364502	nrps-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=1321457&end=1364502
Moorena	producens	JHB	NZ_CP017708.2	1400573	1449884	nrps-like t1pks hybrid	false	hectochlorin	37	BGC0001000	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=1400573&end=1449884
Moorena	producens	JHB	NZ_CP017708.2	1484158	1506698	spliceotide rre-containing hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=1484158&end=1506698
Moorena	producens	JHB	NZ_CP017708.2	1813508	1889338	nrps-like nrps hybrid	false	micropeptin K139	50	BGC0001018	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=1813508&end=1889338
Moorena	producens	JHB	NZ_CP017708.2	1927468	1969999	lanthipeptide-class-v lanthipeptide-class-ii hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=1927468&end=1969999
Moorena	producens	JHB	NZ_CP017708.2	2145428	2165809	microviridin	false	microviridin 1688/microviridin 1739/microviridin 1748	25	BGC0002626	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=2145428&end=2165809
Moorena	producens	JHB	NZ_CP017708.2	2190682	2211666	cyanobactin	false	muscoride A/muscoride B	18	BGC0002485	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=2190682&end=2211666
Moorena	producens	JHB	NZ_CP017708.2	2446527	2467349	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=2446527&end=2467349
Moorena	producens	JHB	NZ_CP017708.2	2595064	2640425	nrps-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=2595064&end=2640425
Moorena	producens	JHB	NZ_CP017708.2	3059014	3108458	nrps t1pks hybrid	false	hapalosin	40	BGC0001467	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=3059014&end=3108458
Moorena	producens	JHB	NZ_CP017708.2	3189834	3285418	t1pks nrps hybrid	false	jamaicamide A/jamaicamide B/jamaicamide C	19	BGC0001001	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=3189834&end=3285418
Moorena	producens	JHB	NZ_CP017708.2	3419823	3489625	t1pks hgle-ks t3pks hybrid	false	heterocyst glycolipids	71	BGC0000869	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=3419823&end=3489625
Moorena	producens	JHB	NZ_CP017708.2	3495145	3562821	nrps t1pks hybrid	false	hectochlorin	100	BGC0001000	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017708.2&start=3495145&end=3562821
